Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Categories,Images,Weight (kg),In stock?,Backorders allowed?
simple,bg-01,Bague Solitaire Éclat,1,"Bague en or jaune 18 carats sertie d'un oxyde de zirconium taille brillant, un classique intemporel pour twister son quotidien.","Bague en or jaune 18 carats sertie d'un oxyde de zirconium taille brillant, un classique intemporel pour twister son quotidien.",390,,Bagues,"https://images.unsplash.com/photo-1605100804763-247f67b3557e?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1603561591411-07134e71a2a9?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1611652022419-a9419f74343d?auto=format&fit=crop&w=900&q=80",0.0021,1,0
simple,bg-02,Alliance Douceur,1,"Anneau fin et lumineux en or 18 carats, pensé pour être porté seul ou en accumulation avec vos bagues préférées.","Anneau fin et lumineux en or 18 carats, pensé pour être porté seul ou en accumulation avec vos bagues préférées.",290,250,Bagues,"https://images.unsplash.com/photo-1603561591411-07134e71a2a9?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1611652022419-a9419f74343d?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=900&q=80",0.0018,1,0
simple,bg-03,Bague Trilogie,1,"Trois pierres serties griffes sur un anneau en or 18 carats, symbole du passé, du présent et de l'avenir.","Trois pierres serties griffes sur un anneau en or 18 carats, symbole du passé, du présent et de l'avenir.",490,,Bagues,"https://images.unsplash.com/photo-1611652022419-a9419f74343d?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1605100804763-247f67b3557e?auto=format&fit=crop&w=900&q=80",0.0026,1,0
simple,bg-04,Chevalière Initiale,1,"Chevalière personnalisable en or 18 carats, gravure d'initiale offerte pour une pièce unique.","Chevalière personnalisable en or 18 carats, gravure d'initiale offerte pour une pièce unique.",320,,Bagues,"https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1605100804763-247f67b3557e?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1603561591411-07134e71a2a9?auto=format&fit=crop&w=900&q=80",0.0034,1,0
simple,co-01,Collier Chaîne Maille Forçat,1,"Chaîne maille forçat en or 18 carats, 42 cm ajustable, la base indispensable de tout bijoutier.","Chaîne maille forçat en or 18 carats, 42 cm ajustable, la base indispensable de tout bijoutier.",340,,Colliers,"https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1620656798579-1984d9e87df7?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1587467512961-120760940315?auto=format&fit=crop&w=900&q=80",0.0042,1,0
simple,co-02,Collier Pastille Gravée,1,"Fine chaîne et médaille ronde en or 18 carats, personnalisable avec l'initiale de votre choix.","Fine chaîne et médaille ronde en or 18 carats, personnalisable avec l'initiale de votre choix.",320,280,Colliers,"https://images.unsplash.com/photo-1620656798579-1984d9e87df7?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1587467512961-120760940315?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&w=900&q=80",0.0031,1,0
simple,co-03,Collier Coeur Filaire,1,"Pendentif coeur en fil d'or 18 carats sur chaîne vénitienne, tout en légèreté et en élégance.","Pendentif coeur en fil d'or 18 carats sur chaîne vénitienne, tout en légèreté et en élégance.",260,,Colliers,"https://images.unsplash.com/photo-1587467512961-120760940315?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1620656798579-1984d9e87df7?auto=format&fit=crop&w=900&q=80",0.0024,1,0
simple,co-04,Collier Rivière Étoiles,1,"Multi-motifs étoiles sertis en or 18 carats, un collier qui capte la lumière sous tous les angles.","Multi-motifs étoiles sertis en or 18 carats, un collier qui capte la lumière sous tous les angles.",520,,Colliers,"https://images.unsplash.com/photo-1620656798579-1984d9e87df7?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1587467512961-120760940315?auto=format&fit=crop&w=900&q=80",0.0050,1,0
simple,br-01,Bracelet Jonc Ouvert,1,"Jonc rigide ajustable en or 18 carats, un bracelet minimaliste et intemporel à porter en toute saison.","Jonc rigide ajustable en or 18 carats, un bracelet minimaliste et intemporel à porter en toute saison.",310,,Bracelets,"https://images.unsplash.com/photo-1611955167811-4711904bb9f8?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=900&q=90, https://images.unsplash.com/photo-1524592094714-0f0654e20314?auto=format&fit=crop&w=900&q=80",0.0038,1,0
simple,br-02,Bracelet Chaîne Gourmette,1,"Gourmette maille anglaise en or 18 carats, personnalisable par gravure sur la plaque centrale.","Gourmette maille anglaise en or 18 carats, personnalisable par gravure sur la plaque centrale.",310,275,Bracelets,"https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&w=900&q=90, https://images.unsplash.com/photo-1524592094714-0f0654e20314?auto=format&fit=crop&w=900&q=80, https://images.unsplash.com/photo-1611955167811-4711904bb9f8?auto=format&fit=crop&w=900&q=80",0.0032,1,0
